Author,Title,Category,Descriptors
"Bacon, Margaret Hope","Mothers of Feminism, The Story of Quaker Women in America",Quaker History,
"Bacon, Margaret Hope",Valiant Friend: The Life of Lucretia Mott,b-Quakers/Mott,
"Bacon, Margaret Hope","Year of Grace, A Novel",Fiction,
"Bacon, Margaret Hope, ed.","Wilt thou go on my errand?: Three 18th Century Journals of Quaker Women Ministers: Susanna Morris 1682-1755; Eluzabeth Hudson; 1722-1783; Ann Moore, 1710-1783",b-Quakers/Collection,
"Baker, Nicholson","Human Smoke: The Beginnings of World War II, the End of Civilization",P&SC: Peace & Nonviolence,
"Baltzell, E. Digby",Puritan Boston and Quaker Philadelphia,Quaker History,Early Quakers
"Barber, Rev. Dr. William J., II",Forward Together: A Moral Message for the Nation (with Barbara Zelter),P&SC: Social Action,Poor People's Campaign
"Barbour, Hugh et al., eds.",Quaker Crosscurrents: 300 Years of Friends in the New York Yearly Meetings (New York State Series),Quaker History,
"Barclay, Robert","Apology for the True Christian Divinity, An: Being an Explanation and Vindication…of…Quakers",b-Quakers/Barclay,
"Barclay, Robert",Barclay's Apology in Modern English; Edited by Dean Freiday ,b-Quakers/Barclay,
"Base, Graeme",Animalia,Juvenile/Picture Book,Alphabet
"Baylor, Byrd; Peter Parnall, illus.","Hawk, I'm Your Brother",Juvenile/Picture Book,
"Beall, Pamela Conn & Nipp, Susan Hagen",Wee Sing Silly Songs,Juvenile ,Songbook
"Benson, Bernard","Peace Book, The",P&SC:Peace & Nonviolence,
"Benson, Lewis",Catholic Quakerism,b-Quakers/Benson,
"Berger, Melvin",Germs Make Me Sick,Juvenile,
"Berry, Wendell, ed. ","Blessed Are the Peacemakers: Christ's Teachings about Love, Compassion and Forgiveness",Bible,
Bible (Contemporary English Version),Holy Bible - Contemporary English Version,Bible,
Bible (Jerusalem),"Jerusalem Bible, The: Reader's Edition",Bible,
Bible (King James Version),New King James Version,Bible,
Bible (King James Version) (Large Type),New Testament: New King James Version,Bible,
Bible (New Oxford Annotated with Apocrypha),New Oxford Annotated Bible with Apocrypha;Revised Standard Version1977,Bible,
"Bill, J. Brent",Life Lessons from a Bad Quaker: A Humble Stumble Towards Simplicity and Grace,b-Quakers/Bill,
"Bill, J. Brent",Mind the Light: Learning to See with Spiritual Eyes,b-Quakers/Bill,
"Billings, David",Deep Denial: The Persistence of White Supremacy in United States History and Life,P&SC:Racial Justice,
"Birkel, Michael L.",Silence and Witness: The Quaker Tradition,Quaker Basics,
"Birkell, Michael L.",Qur'an in Conversation,Other Faiths,Islam
"Bishop, Jeanmarie  (Simpson)","Joy, The: The Mary Dyer Story (Script of one-woman play)",b-Quakers/Dyer,
"Blood, Peter & Annie Patterson, eds.",Rise Up Singing: The Group Singing Songbook,Music,
"Blood, Peter & Annie Patterson, eds.",Rise Again: A Group Singing Songbook,Music,
"Blume, Lesley M. M.",Fallout: The Hiroshima Cover-Up and the Reporter Who Revealed It to the World,P&SC:Peace & Nonviolence,
"Boardman, Elizabeth F.",Taking a Stand: A Guide to Peace Teams and Accompaniment Projects,P&SC:Peace & Nonviolence,Peacemaking
"Boardman, Elizabeth F.",Where Should I Stand: A Field Guide for Monthly Meeting Clerks,Quakerism,Clerking
"Bonhoeffer, Dietrich",Life Together: A Discussion of Christian Fellowship,Spirituality,
"Book of Common Prayer, The","According to the Use of the Protestant Episcopal Church in the United States of America, 1944",Other Faiths,Protestant Episcopal
"Boraine, Alex","Country Unmasked, A: Inside South Africa's Truth and Reconciliation Commission",P&SC:Racial Justice,
"Borg, Marcus J.",Reading the Bible Again for the First Time: Taking the Bible Seriously but not Literally,Bible,Commentary
"Boritzer, Etan; Robbie Marantz, illus.",What is God?,Juvenile/Picture Book,Religion
"Boulding, Elise",Building a Global Civil Culture: Education for an Interdependent World,P&SC:Global  Concerns,
"Boulding, Elise",My Part in the Quaker Adventure,Quaker History,Textbook
"Boulding, Elise",One Small Plot of Heaven: Reflections on Family Life by a Quaker Sociologist,b-Quakers/Boulding,
"Boulton, David and Anthea",In Fox's Footsteps: A Journey Through Three Centuries,b-Quakers/Fox,
"Boulton, David, ed.",Godless for God's Sake: Nontheism in Contemporary Quakerism,Quakerism,
"Bourgeault, Cynthia",Centering Prayer and Inner Awakening,Spirituality,
"Bownas, Samuel","Description of the Qualifications Necessary to Be a Gospel Minister, A",b-Quakers/Bownas,
"Braithwaite, William C.","Beginnings of Quakerism, The",Quaker History,Early Quakers
"Brandenberg, Aliki","Story of William Penn, The",Juvenile,
"Brimner, Larry Dane",We Are One: The Story of Bayard Rustin,Juvenile,
"Brinton, Howard H.",Friends for 300 Years: The history and beliefs of the Society of Friends since George Fox started the Quaker movement,Quaker Basics ,
"Brinton, Howard H.",Quaker Journals: Varieties of Religious Experiences Among Friends,Quakerism,
"Brinton, Howard H. & Bacon, Margaret Hope",Friends for 350 Years: The history and beliefs of the Society of Friends since Gorge Fox started the Quaker movement,Quaker Basics,
"Brock, Peter",Pioneers of the Peaceable Kingdom: The Quaker Peace Testimony from the Colonial Era to the First World War (Extracted from Pacifism in the United States),Quaker History,
Brother Lawrence,"Practice of the Presence of God, The ",Spirituality,
"Brown, Elisabeth Potts & Susan Mosher, eds. ",Witnesses for Change: Quaker Women over Three Centuries,Quaker History,
"Brown, Lester R.",Plan B: Rescuing a Planet under Stress and a Civilization in Trouble,EarthCare,
"Brown, Peter G. & Geoffrey Garver et al",Right Relationship: Building a Whole Earth Economy,EarthCare,
"Brown, Robert McAfee","Religion and Violence, Second Edition",P&SC:Peace & Nonviolence,
"Browne, Jason Penn",William Penn's Legacy,b-Quakers/Penn,
"Brutz, Judy",Crying out to God in the Manner of the Lord's Prayer,Spirituality,
"Buber, Martin","I and Thou (2nd Edition); Walter Kaufmann, trans. ",Spirituality,
"Buckley, Paul","Essential Elias Hicks, The","b-Quakers/Hicks, Elias",
"Burkinshaw, Kathleen","Last Cherry Blossom, The",P&SC:Peace & Nonviolence,Hiroshima
"Buscemi, Ernie and Vince","Here I am, Lord",b-Morningsiders,
"Buser, Mary E.",Lockdown on Rikers: Shocking Stories of Abuse and Injustice at New York's Notorious Jail,P&SC:Prison,
"Cabrera, Jane",Cat's Colors,Juvenile/Picture Book,
"Cadbury, Henry J.","John Woolman in England, 1772. A Documentary Supplement",b-Quakers/Woolman,
"Cady, Edwin H.",John Woolman: The Mind of the Quaker Saint,b-Quakers/Woolman,
"Calvi, John","Dance Between Hope and Fear, The",b-Quakers/Calvi,Spirituality
"Campbell, Sally","""Gifts Meant to Be Shared."" Essay in Gilpin et al, eds, Intimacy with God, p. 160",b-Quakers/Collection,b-Morningsiders
"Cannon, Janell",Stellalina,Juvenile/Picture Book,
"Capossela, Cappy & Warnock, Sheila",Share the Care: How to Organize a Group to Care for Someone Who Is Seriously Ill,ARCH,Caregiving
"Carle, Eric",Very Lonely Firefly,Juvenile,
"Casela, Jean et al",Hell Is a Very Small Place: Voices from Solitary Confinement,P&SC:Prison,
"Cazden, Elizabeth & Roll, Jonah","Quakers: Cobblestone Magazine, Vol 16, No 10 Dec 1995",Juvenile,Quaker History
"Cell, Edward, ed.",DR: Daily Readings from Quaker Spirituality,Quakerism,
Center for the Study of Slavery and Justice at Brown University,Unfinished Business: The Long Civil Rights Movement,P&SC:Racial Justice,
"Chase, Steve",Letters to a Fellow Seeker: A Short Introduction to the Quaker Way,Quaker Basics,
"Chast, Roz",Can't We Talk About Something More Pleasant? (Graphic Memoir),ARCH,Aging
"Chernus, Ira ",American Nonviolence: The History of an Idea,P&SC:Peace & Nonviolence,
"Chevigny, Bell Gale, ed.",Doing Time: 25 Years of Prison Writing,P&SC:Prison,
"Chittister, Joan OSB","Wisdom Distilled from ""The Daily"": Living the Rule of St. Benedict Today",Spirituality,
"Chun, Edna",Bridging The Diversity Divide: Globalization and Reciprocal Empowerment in Higher Education,b-Morningsiders,
"Claiborne, Shane et al",Common Prayer: A Liturgy for Common Radicals,Other Faiths,Radical Christianity
"Coates, Ta-Nehisi",Between the World and Me,P&SC:Racial Justice,
"Cobb, Nancy Howard",In Lieu of Flowers: A Conversation for the Living,ARCH,Death & Dying
"Coelho, Mary","Awakening Universe, Emerging Personhood: The Power of Contemplation in an Evolving Universe",b-Morningsiders,Spirituality
"Coelho, Mary","Depth of Our Belonging, The: Mysticism, Physics, and Healing",b-Morningsiders,Spirituality
"Coffey, Kathy",God Knows: Parenting Is a Wild Ride--9 Things to Hold On To,Child-Rearing,
"Coffin, Levi",Reminiscences: The Reputed President of the Underground Railroad (Reissue; Orig. Pub.1876),b-Quakers/Coffin,Racial Justice
"Coffin, Linda B., ed",Handbook on MIlitary Taxes and Conscience (1988) (From Friends Committee on War Tax Concerns),P&SC: Peace & Nonviolence,
"Cole, Henry",Unspoken: A Story from the Underground Railroad,Juvenile/Picture Book,Racial Justice
"Coles, Robert","Moral Intelligence of Children, The: How to Raise a Moral Child",Child-Rearing,
"Coles, Robert; George Ford, illus.","Story of Ruby Bridges, The",Juvenile/Picture Book,Racial Justice
"Comfort, William Wistar",Just Among Friends: The Quaker Way of Life,Quakerism,
"Comstock, Elizabeth L.","Life and Letters of Elizabeth L. Comstock; Caroline Hare, ed. (Reissue; Orig. Pub. 1895)",b-Quakers/Comstock,
"Conover, Ted",New Jack: Guarding Sing Sing,P&SC:Prison,
"Conti, Angelina et al, eds.",Spirit Rising: Young Quaker Voices,b-Quakers/Collection,
"Cooper, Charles W., ed.","Break the New Ground: Seven Essays by Contemporary Quakers (Douglas Steere, George Lakey, Laurence Naish, Denis BarrItt, Earl harrison, Margaret Gibbons, Paul Lacey); Published by Friends World Committee for Consultation: FWCC), 1969",Quakerism,
"Cooper, Floyd",Mandela: From the Life of the South African Statesman,Juvenile/Picture Book,Racial Justice / Africa
"Cooper, Wilmer A.",Growing Up Plain: The Journey of a Public Friend,b-Quakers/Cooper,
"Cooper, Wilmer A.",Living Faith A.: An Historical and Comparative Study of Quaker Beliefs,Quakerism,
"Cope-Robinson, Lyn","Little Quaker Sociology Book, The (with Glossary)",Quaker History,
"Cornwell-Robinson, Margery",Three Grey Geese: Modern Writings in Honor of Animals (Signed by Author),Poetry,
"Crespo, George",How the Sea Began: A Taino Myth,Juvenile/Picture Book,Indigenous People
"Cresson, Os","Quaker and Naturalist, Too",b-Quakers/Cresson,Nontheism
"Cronk, Sandra",Dark Night Journey: Inward Re-Patterning toward a Life Centered in God,b-Quakers/Cronk,
"Cronk, Sandra; Grundy, Martha Paxson, ed.","Lasting Gift, A: The Journal and Selected Writings of Sandra L. Cronk",b-Quakers/Cronk,
"Curle, Adam",Another Way: Positive Response to Contemporary Violence,P&SC:Peace & Nonviolence,
"Curle, Adam",To Tame the Hydra: Undermining the Culture of Violence,P&SC:Peace & Nonviolence,
"Curtis, Anna L.",Stories of the Underground Railroad (Suitable for Young Adults),P&SC:Racial Justice,
Dalai Lama & Desmond Tutu (with D. Abrams),"Book of Joy, The: Lasting Happiness in a Changing World",Spirituality,
"Damrosch, Leo",Sorrows of the Quaker Jesus: James Nayler and the Puritan Crackdown on the Free Spirit,b-Quakers/Nayler,
"Dandelion, Ben Pink",Celebrating the Quaker Way,Quaker Basics,
"Dandelion, Ben Pink",Living the Quaker Way,Quaker Basics,
"Dandelion, Ben Pink",Open for Transformation: Being Quaker,Quaker Basics,
"Dandelion, Ben Pink","""Quakers"": A Very Short Introduction",Quaker Basics,
"de Angeli, Marguerite","Thee, Hannah",Juvenile,
"de Hartog, Jan","Peaceable Kingdom, The",Fiction,
"de Hartog, Jan","Peculiar People, The",Fiction,
"de Hartog, Jan","View of the Ocean, A: Deckle Edge, November 27, 2007",b-Quakers/de Hartog,Memoir
"de Mello, Anthony, S.J.","Heart of the Enlightened, The: A Book of Story-Heightened Meditations",Spirituality,
"de Sales, St. Francis",Introduction to the Devout Life,Spirituality,
"Deed, Martha",Climate Change,b-Morningsiders/Poetry,
"Demas, Corinne; Ard Hoyt, illus.",Saying Goodbye to Lulu,Juvenile/Picture Book,Death & Dying
"DiAngelo, Robin",White Fragility: Why It's So Hard for White People to Talk About Racism,P&SC:Racial Justice,
"Doherty, Robert W.","Hicksite Separation, The: A Sociological Analysis of Religious Schism in Early Nineteenth Century America",Quaker History,
"Douglas-Klotz, Neil",Prayers of the Cosmos: Meditations on the Aramaic Words of Jesus,Bible/Spirituality,
"Drayton, Brian",On Living with a Concern for Gospel Ministry,Quakerism,
"Dreby, Ed et al., eds.","It's the Economy, Friends: Understanding the Growth Dilemma (Quaker Institute for the Future Pamphlet 5)",P&SC:Global Concerns,
"Dries, Erik (Netherlands Yearly Meeting)",Simply Quakers: Who Are the Quakers and What Do They Do? A Comic Book for Beginners,Juvenile/Quaker Basics,
"DuBois, Rachel Davis",All This and Something More: Pioneering in Intercultural Education: An autobiography,b-Quakers/DuBois,
"Dubos, René","God Within, A: A positive philosophy for a more complete fulfillment of human potentials",Spirituality,
"Dunbar, Barrington","Quaker Speaks from the Black Experience, A: The Life and Selected Writings of Barrington Dunbar;  (NYYM, 1979) James A. Fletcher & Carleton Mabee, eds",b-Quakers/Dunbar,
"Dunn, Hank","Hard Choices for Loving People: CPR, Artificial Feeding, Comfort Care, and the Patient with a Life-Threatening Illness 5th edition 2009",ARCH,Death & Dying
Earlham School of Religion,Among Friends: A Consultation with Friends about the Condition of Quakers in the US Today [1999],Quakerism,
"Egielski, Richard",Saint Francis and the Wolf,Juvenile/Picture Book,
"Ehrlich, Joshua",Mind Shifting: Focus for Performance,b-Morningsiders,
"Ellin, Stanley","Stronghold, a Novel of Suspense",Fiction/Mystery,
"Ellis, Brian ""Fox""","Web at Dragonfly Pond, The; Michael S. Maydak, Illus.",Juvenile/Picture Book,
"Ets, Marie Hall",Gilberto and the Wind,b-Morningsiders ,Picture Book
"Ets, Marie Hall",My Dog Rinty,b-Morningsiders,Picture Book
"Ets, Marie Hall",Play With Me,b-Morningsiders,Picture Book
"Fager, Charles",Selma 1965: The March That Changed the South,P&SC:Racial Justice,
"Fager, Chuck",Meetings: A Religious Autobiography,b-Quakers/Fager,
"Fager, Chuck",Quakers Are Funny,Quakerism,Humor
"Fager, Chuck",Remaking Friends: How Progresssive Friends Changed Quakerism & Helped Save America,Quaker History,
"Fager, Chuck",Study War Some More (If You Want to Work For Peace),P&SC:Peace & Nonviolence,
"Fager, Chuck ed.",Sustaining Peace Witness in the 21st Century: Papers from the 1997 Peace Roundtable,P&SC:Peace & Nonviolence,
"Fager, Chuck, ed.",Angels of Progress: A Documentary History of the Progressive Friends,Quaker History,
"Fager, Chuck, ed.","Best of Friends, The, Vol 1: New Quaker Writing (1998)",b-Quakers/Collection,Fiction & Poetry
"Fager, Chuck, ed.",Posies for Peg: Collected Stories,Fiction,
"Fahey, Joseph J. & Richard Armstrong, eds.","Peace Reader, A.: Essential Readings on War, Justice, Non-Violence and World Order",P&SC:Peace & Nonviolence,
"Fardelmann, Charlotte Lyman, ed.","Nudged by the Spirit: Stories of People Responding to the Still Small Voice of God (Interviews). Contains interview with Morningsider Tom Goodridge, p. 111.",b-Quakers/Collection,
"Farnham, Suzanne et al.",Listening Hearts: Discerning Call in Community,Quakerism,Discernment
"Farris, Christine King; Chris Soentpiet, illus.",My Brother Martin,Juvenile/Picture Book,Civil Rights / Martin Luther King
"Fell, Margaret",Sincere and Constant Love A; edited  by Terry S. Wallace,b-Quakers/Fell,
"Ferris, David",Resistance and Obedience to God: Memoirs of David Ferris 1707-1779,b-Quakers/Ferris,
"Ferri-smith, David","Battlefield without Borders, Iraq Poems",Poetry,
FGC,"Songs of the Spirit (Quaker Songs, Hymnal for Friends) ",Music,
FGC,Worship in Song: A Friends' Hymnal,Music,
FGC (Friends General Conference),Hymnal for Friends (1955),Music,
FGC / FUM (Friends United Meeting),May the Longtime Sun Shine Upon You: A Songbook for Young Friends ,Music,
FGC Religious Education Committee,"Quaker Way, The",Quaker Basics,
"Fleischman, Paul; Kevin Hawkes, illus.",Weslandia,Juvenile/Picture Book,
"Florian, Douglas",Handsprings,Juvenile,Poetry
"Foley, Duncan",Adam's Fallacy: A Guide to Economic Theology,b-Morningsiders,
"Forest, Jim","Root of War Is Fear, The: Thomas Merton's Advice to Peacemakers",P&SC:Peace & Nonviolence,
"Foster, Richard J.",Celebration of Discipline: The Path to Spiitual Growth,b-Quakers/Foster,
"Foster, Richard J.",Freedom of Simplicity: Finding Harmony in a Complex World,Spirituality,
"Fox, Geoge","Journal of George Fox; Jon L. Nickalls, ed. (1997)",b-Quakers/Fox,
"Fox, George","Early Prophetic Openings of George Fox. Jon L. Nickals,  ed.",b-Quakers/Fox,
"Fox, George","Journal of George Fox (vol 2); Norman Penney, ed. (1973)",b-Quakers/Fox,
"Fox, George","No More But My Love: Letters of George Fox, Quaker; Cecil Sharman, ed.",b-Quakers/Fox,
"Fox, George","Power of the Lord Is Over All, The: The Pastoral Letters of George Fox; T. Canby Jones, ed.",b-Quakers/Fox,
"Fox, Matthew","Coming of the Cosmic Christ, The",Spirituality,
"Fox, Matthew",Julian of Norwich: Wisdom in a Time of Pandemic--and Beyond,Spirituality,
"Fox, Mem; Leslie Staub, illus.",Whoever You Are,Juvenile/Picture Book,Diversity
Francis (Pope),"Joy of the Gospel, The: Evangelii Gaudium (Apostolic Exhortation)",Other Faiths,Roman Catholicism
Francis (Pope),Laudato Sí: On Care for Our Common Home,EarthCare,Spirituality
"Francis, Richard","Ann the Word: The Story of Ann Lee, Female Messiah, Mother of the Shakers, The Woman Clothed with the Sun",Other Faiths,Shakers
"Franklin, Ursula","Ursula Franklin Reader, The: Pacifism as a Map",b-Quakers/Franklin,
"Freer, Harold Wiley & Francis Hall",Two or Three Together: A Manual for Prayer Groups,Spirituality,
Friends Freedom Church,Faith and Practice,Quaker Basics/Faith & Practice,
Friends Journal,"Quaker Speak:Weekly Videos, Vital Ministries, Season 1",AudioVisual (DVD),
Friends Journal,"Quaker Speak:Weekly Videos, Vital Ministries, Season 2",AudioVisual (DVD),
Friends of Peace Pilgrim,Peace Pilgrim,P&SC:Peace & Nonviolence,
Friends Seminary,Faith & Practice,Quaker Basics/Faith & Practice,
"Gaines, Isabel",Giving Bear,Juvenile,
"Gellman, Marc & Oscar de Mejo (illus)",Does God Have a Big Toe? Stories about Stories in the Bible,Bible,Juvenile
"Gibbs, Nancy Reid",Children of Light - A History of Friends Seminary,Quaker History,Education
"Gilman, Harvey","Light That Is Shining, A: An Introduction to the Quakers",Quaker Basics,
"Gilpin, Mariellen et al, eds.","Intimacy with God: Real Life Stories from What Canst Thou Say?Incudes essays by Morningsiders Lee Rada (""From Addiction to Happiness,"" p.103) and Sally Campbell (""Gifts Meant to Be Shared,"" p. 160)",b-Quakers / Collection,Spirituality
"Gilpin, Mariellen, ed.",Discovering God as Companion: Real Life Stories from What Canst Thou Say?. ,b-Quakers/Collection,Spirituality
"Giovanni, Nikki; Bryan Collier, illus.",Rosa [Rosa Parks],Juvenile/Picture Book,Civil Rights
"Gist-Etheridge, Lesley","Gist of Freedom Is Still Faith, The",P&SC:Racial Justice,
"Glaser, Shirley; Milton Glaser, illus.","Alphazeds, The",Juvenile/Picture Book,Alphabet
"Goble, Paul","Girl Who Loved Wild Horses, The",Juvenile/Picture Book,
"Godkin, Celia",Wolf Island,Juvenile/Picture Book,
"Goldman, Susan Sachs",Friends in Deed: The Story of Quaker Social Reform in America,Quaker History,
"Goodridge, Tom","""First Small Steps."" Interview in Fardelmann, ed., Nudged by the Spirit, p. 111",b-Quakers/Collection,b-Morningsiders
"Goodridge, Tom",Forever After: NYC Teachers on 9/11. Includes essay by Tom Goodridge.,b-Morningsiders,
"Gordon, Elizabeth K","Walk with Us: Triplet Boys, Their Teen Parents & Two White Women Who Tagged Along",P&SC:Racial Justice,
"Gorman, George H.","Amazing Fact of Quaker Worship, The: Swarthmore Lecture 1973",Quaker Basics,
"Gorman, George H.",Introducing Quakers,Quaker Basics,
"Gottlieb, Rabbi Lynn",Trail Guide to the Torah of Nonviolence,P&SC:Peace & Nonviolence,
"Grassi, Joseph",Peace on Earth: Roots and Practices from Luke's Gospel,Bible/Commentary,
"Grayville, Iris",Hiking Naked: A Quaker Woman's Search for Balance,b-Quakers/Grayville,
"Greene, Jan & Marty Walton",Fostering Vital Friends Meetings: A Handbook for Working with Quaker Meetings ,Quakerism/Quaker Practice,
"Griffin, Emilie and Douglas Steere, eds.","Quaker Spirituality: Selected Writings: Fox, Woolman, Caroline Stephen, Rufus Jones, Kelly (2005)",b-Quakers/Collection,
"Grimke, Sarah & Grimke, Angelina",On Slavery and Abolitionism: Essays and Letters,b-Quakers/Grimkes,
"Grundy, Marty, ed.",Seeking God's Will on Same-Sex Relationships: The Experience of Cleveland Friends Meeting,Quakerism,LGBTQ+ issues
"Guarino, Deborah; Steven Kellog, illus.",Is Your Mama a Llama?,Juvenile/Picture Book,
"Guiton, Gerard","Early Quakers and the 'Kingdom of God': Peace, Testimony and Revolution",Quaker History,
"Gulley, Philip",Living the Quaker Way: Discover the Hidden Happiness in the Simple Life,Quaker Basics,Simplicity
"Gulley, Philip",Unlearning God: How Unbelieving Helped Me Believe,b-Quakers/Gulley,
"Gulley, Philip & James Mulholland",If God Is Love: Rediscovering Grace in an Ungracious World,b-Quakers/Gulley,
"Gulley, Philip & James Mulholland",If Grace Is True: Why God Will Save Every Person,b-Quakers/Gulley,
"Gwyn, Douglas","Anti-War, The: Peace Finds the Purpose of a Peculiar People",P&SC: Peace & Nonviolence,
"Gwyn, Douglas",Conversation with Christ: Quaker Meditations on the Gospel of John,Bible,Commentary
"Gwyn, Douglas",Covenant Crucified: Quakers and the Rise of Capitalism,Quaker History,
"Gwyn, Douglas","Gathering of Spirits, A: The Friends General Conferences 1896-1950",Quaker History,
"Gwyn, Douglas","Sustainable Life, A: Quaker Faith and Practice in the Renewal of Creation",EarthCare,
"Hadley, Abby A.",We're Going to Meeting for Worship; drawings by Diane Edwards La Voy (1982 edition),Juvenile ,Quakerism
"Hadley, Abby A.",We're Going to Meeting for Worship; drawings by Diane Edwards La Voy (2006 edition),Juvenile,Quakerism
"Haines, Nancy L",Approved! A Story About Quaker Meeting for Business,Juvenile,Quakerism
"Haliday, Robert",Mind of Oneness: The Foundation of Good Quaker Business Method,Quakerism,
"Hall, Donald","Carnival of Losses, A: Notes Nearing Ninety",ARCH,Aging
"Hallie, Philip",Lest Innocent Blood Be Shed: The Story of the Village of Le Chambon,P&SC:Peace & Nonviolence,World War II
"Hamm, Thomas D.","Transformation of American Quakerism: Orthodox Friends, 1800–1907",Quaker History,
"Harris, Mark",Grave Matters: A Journey through the Modern Funeral Industry to a Natural Way of Burial,ARCH,
"Hartmann, Thomas E.","Broken Mind, Persistant Hope: A Memoir of Recovery from Brain Damage & Manic Depression",b-Morningsiders,
"Harvey, Jennifer et al,eds.",Disrupting White Supremacy from Within: White People on What WeNeed to Do,P&SC:Racial Justice,
Haverford College,"Rufus M. Jones, In Memoriam",b-Quakers/Jones,
"Hawken, Paul, Ed.",Drawdown: The Most Comprehensie Plan Ever Proposed to Reverse Global Warming,EarthCare,
"Helman, Andrea; Gavriel Jecan, illus.",Hide and Seek: Nature's Best Vanishing Acts,Juvenile,
"Hinson, E.Glenn","Doubleday Devotional Classics (vol 2): Fox, Woolman, David Brainerd",b-Quakers/Collection,
"Hinton, Anthony Ray (with Lara Love Hardin)",The Sun does Shine: How I found Life and Freedom on Death Row,P&SC:Prison,
"Hinton, K. T. Ch'iu","Ellipses of Katherine Ch'iu Hinton, The: Real Life Stories of an International Development Worker",b-Morningsiders,
"Hitchin, David",Quakers in Lewes: An Informal History,Quaker History,English Quakers
"Hliboki, Julie; Photos by David Foster",Breathing Light: Accompanying Loss and Grief with Love and Gratitude,ARCH,Death & Dying
"Hochschild, Adam",Bury the Chains: Prophets and Rebels in the Fight to Free an Empire's Slaves,P&SC:Racial Justice,
"Hoff, Benjamin","Tao of Pooh, The",Other Faiths,Taoism / Humor
"Hoffman, Gene Knudsen","Compassionate Listening and Other Writings; Anthony Manousos, ed.",P&SC:Peace & Nonviolence,
"Hoose, Phillip",Claudette Colvin: Twice Toward Justice,P&SC:Racial Justice,Civil Rights
"Hunter, Daniel",Building a Movement to End the New Jim Crow: An Organizing Guide,P&SC:Racial Justice,
"Hurston, Zora Neale","Barracoon: The Story of the Last ""Black Cargo""",P&SC:Racial Justice,
"Hutchison, Joyce & Rupp, Joyce",May I Walk You Home?: Courage and Comfort for Caregivers of the Very Ill,ARCH,
"Hyde, Lewis","Gift, The: Imagination and the Erotic Life of Property",P&SC:Global Concerns,
"Ingle, H. Larry",First Among Friends: George Fox and the Creation of Quakerism,b-Quakers/Fox,
"Ireland, Karin","Wonderful Nature, Wonderful You",Juvenile/Picture Book,
